tweet_text,cleaned_text,label,disaster_type
"[AP TOP] Spanish royals to attend Mass for train dead: SANTIAGO DE COMPOSTELA, Spain (AP) — Spain's royal fami... http://t.co/pat052dI8q",ap top spanish royal attend mass train dead santiago de compostela spain ap spain royal fami,9,Transportation Accident
Probe Seeks Cause Of Fatal NYC Train Crash http://t.co/iXrdXa3orM,probe seek cause fatal nyc train crash,9,Transportation Accident
RT @tracysolomon: PHOTOS: View aerial images of the #WaldoCanyonFire in Colorado Springs: http://t.co/zY60ydsU #cofire,photo view aerial image waldocanyonfire colorado spring cofire,11,Wildfire
"RT @aceYthekidd: Us: You hear bout that shit in Boston? Co-Worker: Nah what? Us: Bombs at the marathon, folks dying. Co-Worker: I ...",u hear bout shit boston coworker nah u bomb marathon folk dying coworker,0,Bombing
RT @ShahbagInfo: #SAVAR UPDATE: 270 dead so far; 213 dead bodies are handed over to relatives; many survivors still trapped inside. #Shahba…,savar update dead far dead body handed relative many survivor still trapped inside,1,Building Collapse
Investigators search for clues to cause of Texas explosion http://t.co/03N9C1hIDo,investigator search clue cause texas explosion,3,Explosion
Prayers for everyone in that community in West Texas. That's just unreal.,prayer everyone community west texas thats unreal,3,Explosion
"RT @nprnews: Bangladesh Factory Collapse Death Toll Crosses 1,000 http://t.co/nKFFg5Y9jP",bangladesh factory collapse death toll cross,1,Building Collapse
"RT @GlobalGrind: UPDATE: West, Texas fertilizer plant that exploded hadn't been inspected since 1985 http://t.co/HWHb86MyoT",update west texas fertilizer plant exploded inspected since,3,Explosion
"SAF cancelled outfield exercises, NEA advised against sporting activity; manpower ministry still won’t issue stop-work order #sghaze #labour",saf cancelled outfield exercise nea advised sporting activity manpower ministry still issue stopwork order sghaze labour,6,Haze
MT @KyleClark: Please keep #HighParkFire firefighters in your thoughts/prayers. Difficult day looms for them.,mt please keep highparkfire firefighter thoughtsprayers difficult day loom,11,Wildfire
"RT @STcom: We will be tweeting live from press conference on #sghaze situation, held by Environment Minister Vivian Balakrishnan at 11.30pm…",tweeting live press conference sghaze situation held environment minister vivian balakrishnan,6,Haze
Remember them in your thoughts and prayers. #pray for West Texas #pray for Boston,remember thought prayer pray west texas pray boston,3,Explosion
RT @johnpaulpagano: An essential part of Tamerlan Tsarnaev's radicalization was his indoctrination in conspiracy theories: http://t.co/59Ao…,essential part tamerlan tsarnaevs radicalization indoctrination conspiracy theory,0,Bombing
"RT @jujumber: Hi @twitter, can every tweet with hashtag #rescuePH be a $1 donation to the Philippines victims? - Pls retweet this until ...",hi every tweet hashtag rescueph donation philippine victim pls retweet,5,Flood
NYC Train Derailment Is Latest Woe for Metro-North - ABC News: NYC Train Derailment Is Latest Woe for Metro-No... http://t.co/SQ7SLCUtVl,nyc train derailment latest woe metronorth abc news nyc train derailment latest woe metrono,9,Transportation Accident
"RT @STcom: #SgHaze update: PSI is 140 at 8pm, the highest since 2006",sghaze update psi pm highest since,6,Haze
#RussianMeteor -thinking of the movie Armageddon-,russianmeteor thinking movie armageddon,7,Meteor
Bangladesh factory building collapse kills nearly 100  http://t.co/FjdaUK155e,bangladesh factory building collapse kill nearly,1,Building Collapse
#prayfortexas #prayforboston the usa has had such a rough week,prayfortexas prayforboston usa rough week,3,Explosion
"On the other hand, that meteor situation in russia is out of this world!!! No? Okay..",hand meteor situation russia world okay,7,Meteor
VIDEO: Why is Singapore lost in a haze? http://t.co/YBtx4iex8B,video singapore lost haze,6,Haze
RT @TODAYonline: CASE urges sellers not to “take advantage of the plight of consumers” by raising prices of face masks #sghaze http://t.co/…,case urge seller take advantage plight consumer raising price face mask sghaze,6,Haze
RT @CBSEveningNews: The Univ. of Colorado Boulder will be closed today and tomorrow due to massive flooding in the area that has killed 2 (…,univ colorado boulder closed today tomorrow due massive flooding area killed,5,Flood
"RT @MOEsg: For the well-being of our staff &amp; students, ALL school activities are cancelled for the rest of the June vacation. #edsg #sghaze",wellbeing staff student school activity cancelled rest june vacation edsg sghaze,6,Haze
RT @john_larkin: SIngapore CBD. Clear day &amp; the current haze disaster. Indonesia must stop illegal forest fires now. #haze #Singapore http:…,singapore cbd clear day current haze disaster indonesia must stop illegal forest fire haze singapore,6,Haze
RT @GalacticWomanAu: Shouldn't the Prime Minister of the nation be making some kind of public statement about the fire emergency in NSW?,prime minister nation making kind public statement fire emergency nsw,11,Wildfire
RT @YourAnonNews: Incredible still image taken from video capturing West Texas fertizlier plant explosion - (FOX 44) | http://t.co/PAAIz ...,incredible still image taken video capturing west texas fertizlier plant explosion fox,3,Explosion
@itsMorrisF same here...#PabloPH is near..,herepabloph near,10,Typhoon
Flood Insurance - Worth The Investment? http://t.co/0DdywAx7xW #COFlood #Flood #Insurance,flood insurance worth investment coflood flood insurance,5,Flood
Bangladeshi Collapse Kills Many Garment Workers: The police in Bangladesh said at least 154 people had died an... http://t.co/xK8zAI8xOd,bangladeshi collapse kill many garment worker police bangladesh said least people died,1,Building Collapse
"RT @NewEarthquake: 4.6 earthquake, 5km NNE of Nicoya, Costa Rica. Sep 11 20:13 at epicenter (21m ago, depth 37km). http://t.co/Alm4XujD",earthquake km nne nicoya costa rica sep epicenter ago depth km,2,Earthquake
RT @abc7newsBayArea: NEW PIC: Texas explosion http://t.co/Bg2A6j3AnV MORE PHOTOS: http://t.co/1E68SLUHd7,new pic texas explosion photo,3,Explosion
You may drop off your #PabloPH donations at any LBC branch nationwide until Dec. 21st. Please tell your friends http://t.co/naEWVMom,may drop pabloph donation lbc branch nationwide dec st please tell friend,10,Typhoon
"RT @storyfulpro: BRAZIL: At least 90 killed in fire in nightclub Kiss, Santa Maria. Fire started at 2.00am local. Diario de Santa Maria  ...",brazil least killed fire nightclub kiss santa maria fire started local diario de santa maria,4,Fire
Guess what you buy will keep going up? #SureWinMoney #SgHaze,guess buy keep going surewinmoney sghaze,6,Haze
will be evacuating in a few moments. #PabloPH,evacuating moment pabloph,10,Typhoon
thoughts go out for everyone involved in the police helicopter crash in glasgow:-(,thought go everyone involved police helicopter crash glasgow,9,Transportation Accident
RT @CBS4Tim: Colorado broadcasters planning a telethon for #COflood victims this week. More details to be released later today.,colorado broadcaster planning telethon coflood victim week detail released later today,5,Flood
RT @Mediaite: WATCH LIVE: Terminal 3 Evacuated After Shooting Incident Reported at LAX Airport http://t.co/nCkHRaYmZs via @mediaite,watch live terminal evacuated shooting incident reported lax airport via,8,Shooting
RT @Harry_Styles: Millions in the Philippines need clean water &amp; shelter now. @oxfamgb is there: donate to their #Haiyan appeal! http://t.c…,million philippine need clean water shelter donate haiyan appeal,10,Typhoon
RT @Soshajustis: Meteor shards hit Russia after explosion...Surely Al Gore can connect this to global warming...... http://t.co/Reg2KB3A,meteor shard hit russia explosionsurely al gore connect global warming,7,Meteor
RT @chaikafrias: #rescuePH #PrayForThePhilipppines,rescueph prayforthephilipppines,5,Flood
@zzaheenn: Indonesia says Singapore acting 'like a child' over haze? wait. who spread the haze over Malaysia and Singapore? aha,indonesia say singapore acting like child haze wait spread haze malaysia singapore aha,6,Haze
#prayfortexas https://t.co/pqL19CP1Ve,prayfortexas,3,Explosion
RT @ChannelNewsAsia: #SGHaze PSI reading at 10am is 367.,sghaze psi reading,6,Haze
RT @cnnbrk: Source: More than 500 now reported injured in blast from Russian #meteor http://t.co/gnhl9lFk,source reported injured blast russian meteor,7,Meteor
#RGP Police up death toll to 245 in Brazil club fire: A fire swept through a crowded nightclub in southern Brazi... http://t.co/Z00IHaxi,rgp police death toll brazil club fire fire swept crowded nightclub southern brazi,4,Fire
"RT @tellothelle: ----------In need of rescue teams sa Palanza Street, Brgy. Dona Imelda, Sta. Mesa, QC. Please RT!! #rescuePH @gmanews @ ...",need rescue team sa palanza street brgy dona imelda sta mesa qc please rescueph,5,Flood
RT @NASA: Coming up at 4pm: @NASA experts discuss the #RussianMeteor. Learn more about meteor &amp; listen to panel live at 4pm ET: http ...,coming pm expert discus russianmeteor learn meteor listen panel live pm et http,7,Meteor
RT @NEAsg: 3-hour PSI is 62. Issued 2am. http://t.co/jWFeoz49pP #sghaze,hour psi issued sghaze,6,Haze
An awesome .gif file of the meteor from Russia :) http://t.co/GUs9jHXB,awesome gif file meteor russia,7,Meteor
"@nestorflecha #news  more photo about the #explosion in Waco, #Texas http://t.co/tfcMKGvzr3",news photo explosion waco texas,3,Explosion
At least 220 killed in Brazil nightclub fire: At least 220 people have died in a fire that swept through a night... http://t.co/vQWfw17R,least killed brazil nightclub fire least people died fire swept night,4,Fire
Yahoo/Space- Magnitude 7.9 quake strikes northwestern Costa Rica: WASHINGTON (Reuters) - A 7.9 magnit... http://t.co/o60LTx4g - travel -,yahoospace magnitude quake strike northwestern costa rica washington reuters magnit travel,2,Earthquake
"RT @junkgypsy: texas, our texas. 4 west, 4 emergency workers, 4 loved ones...let us pray. #westexplosion",texas texas west emergency worker loved oneslet u pray westexplosion,3,Explosion
RT @STcom: #SGHaze update: PSI is 321 at 10.55pm @NEAsg,sghaze update psi pm,6,Haze
RT @ilovejamich: The historical Loboc Church in Bohol :( Before &amp; after #earthquake #PrayForVisayas God bless the Philippines http://t.co/Y…,historical loboc church bohol earthquake prayforvisayas god bless philippine,2,Earthquake
JGH from school-Dad'soffice. Cancelled ang afternoon classes dahil sa lintek na bagyo! -_- Please Lord! Wag madamay ang Mindanao. :( #Pablo,jgh schooldadsoffice cancelled ang afternoon class dahil sa lintek na bagyo please lord wag madamay ang mindanao pablo,10,Typhoon
"RT @BreakingNews: TSA agent killed in Los Angeles airport shooting - @AP, @NBCNews, @cnnbrk",tsa agent killed los angeles airport shooting,8,Shooting
"Meteor Russia, Safe Haven, Oscar Pistorius, asteroid, ...: Meteor Russia   Safe Haven   Osca...  http://t.co/r3gbb79N",meteor russia safe oscar pistorius asteroid meteor russia safe osca,7,Meteor
RT @Boston_Police: Despite reports to the contrary there has not been an arrest in the Marathon attack.,despite report contrary arrest marathon attack,0,Bombing
RT @MisterPryor35: I can't believe this happened prayers go out to everyone affected by the explosion God be with them. #prayfortexas ht ...,believe happened prayer go everyone affected explosion god prayfortexas ht,3,Explosion
"(SgNA) Worst of haze shifts from Singapore to Malaysia, state of emergency declared in southern district of Muar... http://t.co/a3OfD4nXvd",sgna worst haze shift singapore malaysia state emergency declared southern district muar,6,Haze
"they were doing a charity marathon...that's so heartless, they're innocent and they don'y deserve it. #prayforboston",charity marathonthat heartless innocent dony deserve prayforboston,0,Bombing
RT @JahovasWitniss: FUCK YEA Bill Nye the science guy is on CNN talking about the meteor that hit Russia! http://t.co/fyWvrxu3,fuck yea bill nye science guy cnn talking meteor hit russia,7,Meteor
"RT @KeriHilson: CNN reports the Philippines typhoon death toll could possibly end up in 10,000's. May our prayers be with the Philippines...",cnn report philippine typhoon death toll could possibly end may prayer philippine,10,Typhoon
"RT @HopeForBoston: R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston  ...",rip yearold girl died boston explosion running sandy hook kid prayforboston,0,Bombing
"RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",felt sorry victim magnitude earthquake boholphilippines,2,Earthquake
"RT @latimes: #LAX shooting: Suspect does not appear to be tied to terrorist organization, source says http://t.co/euVlRqxU2W",lax shooting suspect appear tied terrorist organization source say,8,Shooting
"RT @Elcid_Lao: The Miraculous Famous Dauis Church of Panglao, Bohol destroyed!!! @ABSCBNNews Photo: Thara co #PrayForBohol http://t.co/DAl1…",miraculous famous dauis church panglao bohol destroyed photo thara co prayforbohol,2,Earthquake
RT @c4marcus: Image here from @Janney_h appears to confirm it is indeed police helicopter involved in Glasgow crash: http://t.co/BySlVrh2aM,image appears confirm indeed police helicopter involved glasgow crash,9,Transportation Accident
"NYC train derailment airs queries about technology: YONKERS, N.Y. (AP) — The revelation that a New York City c... http://t.co/79QIJbmfTH",nyc train derailment air query technology yonkers ny ap revelation new york city,9,Transportation Accident
"RT @RT_com: UPDATE: More than 30 killed, buildings damaged after 7.1 quake hits southern Philippines http://t.co/0J6Eg19Gws http://t.co/Ddk…",update killed building damaged quake hit southern philippine,2,Earthquake
THE USA SHUT UP PLEASE AND START TO PRAY #RussianMeteor,usa shut please start pray russianmeteor,7,Meteor
"[DEVELOPING STORY]PHOTO: #PabloPH image from GMA Weather, 320KM Northwest of Dagupan City. More details: (cont) http://t.co/u5gxvgTV",developing storyphoto pabloph image gma weather km northwest dagupan city detail cont,10,Typhoon
"RT @CBSLA: #LAX UPDATE: #FBI, @Eric_Garcetti &amp; @LAPDChiefBeck to hold news conf. at 11:30A. Watch live @CBSLA.com, #CBS2, #KCAL9. Listen li…",lax update fbi hold news conf watch live com cbs kcal listen,8,Shooting
RT @pal_rudebwoy: The Haze in Sumatra !  Retweet and let everyone know there are worst Haze then Singapore ! http://t.co/tyPNrN8Pql,haze sumatra retweet let everyone know worst haze singapore,6,Haze
"RT @duda_luglio: We just need to pray, because God knows everything #PrayForSantaMaria #PrayForBrazil",need pray god know everything prayforsantamaria prayforbrazil,4,Fire
#waco #explosion http://t.co/4KzHKAsPop,waco explosion,3,Explosion
Meteor hits Russia? Holy shit!,meteor hit russia holy shit,7,Meteor
Russian scientists track down fragments of meteor http://t.co/agSq6RIk,russian scientist track fragment meteor,7,Meteor
RT @nytimes: Updated: At least 7 people were injured in shooting by gunman at Los Angeles International Airport http://t.co/aMkeNeWVii,updated least people injured shooting gunman los angeles international airport,8,Shooting
"RT @NBCLA: Early reports: 3 people wounded, including TSA agent, in #LAX shooting http://t.co/exk3bk4Tmv",early report people wounded including tsa agent lax shooting,8,Shooting
"RT @lorijeansmith13: William Rockefeller, Metro-North Engineer, Fell Asleep During Fatal Train Derailment: Report http://t.co/BRpJFW476R vi…",william rockefeller metronorth engineer fell asleep fatal train derailment report,9,Transportation Accident
RT @TheAtlanticWire: Google releases a tool to help loved ones track down #BostonMarathon runners http://t.co/cpM7l1frlo,google release tool help loved one track bostonmarathon runner,0,Bombing
"RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",earthquake km sw champerico guatemala nov epicenter ago depth km,2,Earthquake
RT @STcom: #sghaze update: #Haze taskforce convened as PSI soared to record level http://t.co/cjjZcyVdk1,sghaze update haze taskforce convened psi soared record level,6,Haze
Boston Marathon Bombing Investigators Using Crowdsourced Photographs http://t.co/NIE05JwOBZ #photography,boston marathon bombing investigator using crowdsourced photograph photography,0,Bombing
RT @MisterPryor35: I can't believe this happened prayers go out to everyone affected by the explosion God be with them. #prayfortexas ht ...,believe happened prayer go everyone affected explosion god prayfortexas ht,3,Explosion
RT @vikkicampion: Barry O'Farrell says 100s of homes have been lost in #nswfires If you can avoid going home (from the city) do so.,barry ofarrell say home lost nswfires avoid going home city,11,Wildfire
"Local firefighters are volunteers, but today they truly acted as professionals says #LacMegantic fire chief.",local firefighter volunteer today truly acted professional say lacmegantic fire chief,9,Transportation Accident
BOSTON: TERRORIST ATTACK! CNN AND CBS ARE OFFICIALLY CALLING THIS A TERRORIST ATTACK! #911BUFF,boston terrorist attack cnn cbs officially calling terrorist attack buff,0,Bombing
Uncle: Family to claim Boston bomb suspect's body http://t.co/bmTSgGUi6O via @USATODAY,uncle family claim boston bomb suspect body via,0,Bombing
TSB needs time to figure out what happened in Lac Megantic http://t.co/WZgt0VRuYp #Montreal,tsb need time figure happened lac megantic montreal,9,Transportation Accident
RT @WSJ: Breaking: Four died when a commuter train derailed in New York City.  http://t.co/fl6ywO6Uvj,breaking four died commuter train derailed new york city,9,Transportation Accident
"In Bangladesh, Search For Building Collapse Survivors Presses On: Officials in Bangladesh say at least... http://t.co/kkRtHXmynz #dallas",bangladesh search building collapse survivor press official bangladesh say least dallas,1,Building Collapse
"RT @AmbControl999: VERY IMPORTANT, PLEASE RT @kirsty_boyle: If you can, the blood donor centre in Glasgow is open from 9.30am #Clutha http…",important please blood donor centre glasgow open clutha,9,Transportation Accident
RT @ANCALERTS: THIS JUST IN: Cagayan de Oro suspends classes in all levels. Preemptive evacuation starts 2pm. #PabloPH,cagayan de oro suspends class level preemptive evacuation start pm pabloph,10,Typhoon
"RT @WSJ: #WestTX mayor: Those killed in blast include 5 volunteer firefighters, 4 EMTs and a Dallas firefighter. http://t.co/ilE8nn1iSs",westtx mayor killed blast include volunteer firefighter emts dallas firefighter,3,Explosion
"Search In Bangladesh Collapse Officially Ends, Death Toll At 1,127 http://t.co/Ua5TSDIJO4",search bangladesh collapse officially end death toll,1,Building Collapse
Is Global Warming to Blame for the Killer Earthquake in the Philippines?: Greener IdealGlobal... http://t.co/YU4gS4Dd4g #GlobalWarming,global warming blame killer earthquake philippine greener idealglobal globalwarming,2,Earthquake
So apparently there was a shooting at #LAX #whatisthisworldcomingto,apparently shooting lax whatisthisworldcomingto,8,Shooting
RT @ChirpHard: any one else want to get in line for the gauntlet and let Dzhokhar Tsarnaev skate through? #BostonStrong,one else want get line gauntlet let dzhokhar tsarnaev skate bostonstrong,0,Bombing
"@QxK thanks to the dead lax shooter for causing traffic, i missed glassjaw. so I'm going to try to go tonight",thanks dead lax shooter causing traffic missed glassjaw im going try go tonight,8,Shooting
Homes spared from flooding for now - Sydney Morning Herald http://t.co/M4rcPw0Y #qld,home spared flooding sydney morning herald qld,5,Flood
#LAXshooting: Officers didn’t hesitate to confront gunman - Daily Bulletin - http://t.co/ooJZdZqguB,laxshooting officer hesitate confront gunman daily bulletin,8,Shooting
RT @ICanRel8_: My thoughts &amp; prayers go out to the people in the Philippines affected by this typhoon.,thought prayer go people philippine affected typhoon,10,Typhoon
RT @Reuters: Costa Rica President Chinchilla says no report of loss of life so far after earthquake http://t.co/IroAyLyv,costa rica president chinchilla say report loss life far earthquake,2,Earthquake
Another awful thing happend. &lt;/3 #PrayForTexas #Waco #Texas,another awful thing happend prayfortexas waco texas,3,Explosion
"The moral of the story is, if you see a huge weird contrail and bright light, take cover away from windows ASAP.  #meteor",moral story see huge weird contrail bright light take cover away window asap meteor,7,Meteor
RT @A_DarlingMP: Alex Salmond wants us to leave the Union. What assurances can he give that we won't end up on fire like Australia? http://…,alex salmond want u leave union assurance give end fire like australia,11,Wildfire
What the heck? #MaringPH 😳 “@OngVicoy: Look what happened to SCTEX. 😔😣 http://t.co/8E52x3joPW”,heck maringph look happened sctex,5,Flood
Colorado fire news: http://t.co/O0mWiM9Y via @msnbc,colorado fire news via,11,Wildfire
@orgasmicgomez Investigators Examine Wreckage Of Deadly New York Train Crash: A passenger train crash in the Bronx ea...  @onedirslaytion,investigator examine wreckage deadly new york train crash passenger train crash bronx ea,9,Transportation Accident
RT @ANCALERTS: #UGC via @iAmJygs: Wrath of Typhoon Yolanda in Ormoc City #YolandaPH http://t.co/wbjmmHEVXn,ugc via wrath typhoon yolanda ormoc city yolandaph,10,Typhoon
#nepalnews Brazil nightclub fire likely killed more than 200: police: BRASILIA: A nightclub fire in southern Bra... http://t.co/xEBnK3Vg,nepalnews brazil nightclub fire likely killed police brasilia nightclub fire southern bra,4,Fire
"RT @OurGreatAmerica: Dzhokhar Tsarnaev,   I have bad news for you. We never lose at Hide and Seek, just ask Bin Laden and Saddam. Good Luck…",dzhokhar tsarnaev bad news never lose hide seek ask bin laden saddam good,0,Bombing
RT @_PrincessGF: #PrayForWest http://t.co/qtpCsjmsyf,prayforwest,3,Explosion
RT @NBA_Wallpapers_: Thoughts go out to those in Boston. #PrayForBoston http://t.co/YATpJrebJS,thought go boston prayforboston,0,Bombing
@imOverlyManly #RussianMeteor ? You mean pebble that fell from space?,russianmeteor mean pebble fell space,7,Meteor
RT @MichaelSkolnik: aerial photo of the train derailment (via @SheldonDutes4NY) #MetroNorth http://t.co/POLVgPKADG,aerial photo train derailment via metronorth,9,Transportation Accident
Sunny Sunday. ♥ we're hoping typhoon Pablo won't hit our shores.,sunny sunday hoping typhoon pablo hit shore,10,Typhoon
JUST IN: Boston bombing latest: Father or Tamerlan and Dzhokhar Tsarnaev denies 'angelic sons' actions http://t.co/ct8ZJ2vmd4,boston bombing latest father tamerlan dzhokhar tsarnaev denies angelic son action,0,Bombing
RT @AC360: Someone opened to the door to the tarmac and we took cover under the airplane @MythBusters @ToryBelleci on #LAXShooting. #AC360,someone opened door tarmac took cover airplane laxshooting ac,8,Shooting
#caffeinesmo Meteor injures more than 980 in Russian city - Washington Post http://t.co/aJRZl0SJ,caffeinesmo meteor injures russian city washington post,7,Meteor
"Just heard about the explosion in #West. Totally shocked, Nick's grandparents live there. So sad. http://t.co/M31qUKWmRg",heard explosion west totally shocked nick grandparent live sad,3,Explosion
RT @politicaltragic: #Qldfloods So how many front line emergency personnel did Newman get rid of in 2012? Remind me please CN you wicked ...,qldfloods many front line emergency personnel newman get rid remind please cn wicked,5,Flood
RT @SaveUKNews: More new photos coming in from Typhoon #Bopha in Philippines. Destruction in Compostela Valley: http://t.co/tRLzmMVO,new photo coming typhoon bopha philippine destruction compostela valley,10,Typhoon
"RT @cnnbrk: Nightclub fire in #Brazil: Club was 1,000 people over capacity, official says. http://t.co/QBffED9h",nightclub fire brazil club people capacity official say,4,Fire
Toll in Bangladesh collapse above 650: Here is the latest from Bangladesh on Monday concerning the calamitous ... http://t.co/6KMc7wvdux,toll bangladesh collapse latest bangladesh monday concerning calamitous,1,Building Collapse
More dead expected to be found after a runaway train carrying light crude oil exploded in the Canada. http://t.co/ukXaEToH8v,dead expected found runaway train carrying light crude oil exploded canada,9,Transportation Accident
"RT @funkmasterflex: (Photos) Fire Kills Over 245 People In Brazil Nightclub, Hundreds More Injured - http://t.co/ZBriCDNP #IFWT",photo fire kill people brazil nightclub hundred injured ifwt,4,Fire
Dead suspect's wife 'very distraught': The wife of deceased Boston Marathon bombing suspect Tamerlan Tsarnaev ... http://t.co/cTGRnDa1bm,dead suspect wife havery distraught wife deceased boston marathon bombing suspect tamerlan tsarnaev,0,Bombing
